,,,,,,,,,,,,,,,,,total unique,total analysed,total missing,total added,total missing and added,net total missing
shop _( xname coffee providing _( food chinese )_ )_ new_sent located _( it riverside )_ new_sent average _( rating _( its customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range high,,customer rating average,,area city centre,,family Friendly no,,near xnear,,added,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( price high )_ )_ )_ new_sent located _( it centre city )_ new_sent xnear it new_sent average _( rating _( its customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,customer rating low,,near xnear,,added,,,,,,,,,,,,0,0,0,0,
has _( xname rating _( low customer )_ located _( and xnear )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,area riverside,,family Friendly yes,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese )_ )_ new_sent located _( it riverside )_ new_sent xnear it,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range moderate,,customer rating 3 out of 5,,area riverside,,family Friendly no,,near xnear,,added,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( moderate price )_ )_ )_ new_sent located _( it riverside )_ new_sent xnear it new_sent 3 _( it rating customer 5 )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range moderate,,customer rating 3 out of 5,,area city centre,,family Friendly no,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food english range _( moderate price )_ )_ )_ new_sent located _( it centre city )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range less than £ 20,,customer rating low,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( less 20 )_ price )_ )_ )_ new_sent xnear it new_sent low _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,customer rating high,,area riverside,,family Friendly yes,,added,,,,,,0,0,0,0,
shop _( xname friendly kid coffee serves _( food english )_ )_ new_sent located _( it riverside has _( and rating _( high customer )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range high,,area city centre,,family Friendly yes,,near xnear,,added,,,,0,0,0,0,
shop _( xname friendly child coffee serving _( food english range _( price high )_ )_ )_ new_sent located _( it centre _( city xnear )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range moderate,,area riverside,,family Friendly no,,near xnear,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( moderate price )_ )_ )_ new_sent located _( it riverside )_ new_sent xnear it,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range cheap,,customer rating average,,area riverside,,family Friendly yes,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( cheap price )_ )_ )_ new_sent located _( it riverside )_ new_sent average _( rating _( its customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range high,,customer rating 1 out of 5,,area riverside,,family Friendly no,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food english range _( price high )_ )_ )_ new_sent located _( it riverside )_ new_sent 1 _( it 5 _( rating customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,customer rating low,,area riverside,,near xnear,,added,,,,,,,,,,0,0,0,0,
has _( xname rating _( low customer )_ located _( and riverside xnear )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,area city centre,,family Friendly no,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese )_ )_ new_sent located _( it centre city )_ new_sent xnear it,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range less than £ 20,,customer rating low,,area riverside,,family Friendly yes,,near xnear,,added,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( less 20 )_ price )_ )_ )_ new_sent located _( it riverside )_ new_sent xnear it new_sent low _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range more than £ 30,,customer rating high,,area city centre,,family Friendly no,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( more 30 )_ price )_ )_ )_ new_sent located _( it centre city )_ new_sent high _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range cheap,,customer rating average,,area city centre,,added,,,,,,0,0,0,0,
shop _( xname cheap coffee centre _( city serves _( food english )_ )_ )_ new_sent has _( it rating _( average customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range cheap,,customer rating average,,family Friendly no,,near xnear,,added,,,,0,0,0,0,
shop _( xname coffee serves _( food _( cheap english )_ xnear )_ )_ new_sent has _( it rating _( average customer )_ friendly _( and not family )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,customer rating 1 out of 5,,area riverside,,family Friendly yes,,near xnear,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese )_ )_ new_sent located _( it riverside )_ new_sent xnear it new_sent 1 _( it 5 _( rating customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range £ 20 - 25,,customer rating high,,area city centre,,near xnear,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( 20 25 )_ price )_ )_ )_ new_sent located _( it centre city )_ new_sent xnear it new_sent high _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range moderate,,customer rating 3 out of 5,,area city centre,,near xnear,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( moderate price )_ )_ )_ new_sent located _( it centre city )_ new_sent xnear it new_sent 3 _( it rating customer 5 )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,customer rating low,,family Friendly yes,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese )_ )_ new_sent xnear it new_sent low _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range moderate,,customer rating 3 out of 5,,family Friendly yes,,added,,,,,,0,0,0,0,
shop _( xname friendly kid coffee serving _( food english range _( moderate price )_ )_ )_ new_sent has _( it rating _( customer 3 5 )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,customer rating average,,family Friendly no,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food english )_ )_ new_sent located _( it xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range cheap,,customer rating average,,area city centre,,family Friendly yes,,added,,,,0,0,0,0,
shop _( xname cheap friendly family coffee centre _( city serves _( food english )_ )_ )_ new_sent has _( it rating _( average customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range £ 20 - 25,,customer rating high,,area riverside,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( 20 25 )_ price )_ )_ )_ new_sent located _( it riverside )_ new_sent high _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,customer rating average,,area city centre,,family Friendly yes,,added,,,,,,,,,,0,0,0,0,
restaurant _( xname friendly family centre city rating _( average customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range moderate,,customer rating 3 out of 5,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( moderate price )_ )_ )_ new_sent xnear it new_sent 3 _( it rating customer 5 )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,customer rating 3 out of 5,,area riverside,,added,,,,,,,,,,,,0,0,0,0,
restaurant _( xname riverside rating _( customer 3 5 )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range moderate,,area riverside,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( moderate price )_ )_ )_ new_sent located _( it riverside )_ new_sent xnear it,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range cheap,,customer rating average,,area riverside,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( cheap price )_ )_ )_ new_sent located _( it riverside )_ new_sent average _( rating _( its customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,customer rating high,,area riverside,,family Friendly yes,,near xnear,,added,,,,0,0,0,0,
shop _( xname friendly kid coffee serving _( food english )_ )_ new_sent located _( it riverside xnear has _( and rating _( high customer )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,customer rating 5 out of 5,,family Friendly yes,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese )_ )_ new_sent xnear it new_sent 5 _( it rating customer 5 )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range high,,area riverside,,family Friendly no,,near xnear,,added,,,,0,0,0,0,
shop _( xname priced high coffee serves _( food english )_ )_ new_sent located _( it riverside xnear friendly _( and not children )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,customer rating 5 out of 5,,area city centre,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname coffee serves _( food english )_ )_ new_sent located _( it centre _( city xnear )_ has _( and rating _( customer 5 5 )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range cheap,,customer rating average,,area city centre,,family Friendly yes,,near xnear,,added,,0,0,0,0,
shop _( xname cheap friendly family coffee serves _( food english )_ )_ new_sent located _( it centre _( city xnear )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range high,,customer rating average,,area riverside,,family Friendly no,,added,,,,0,0,0,0,
shop _( xname coffee area riverside )_ new_sent serves _( it food english range _( high price )_ has _( and rating _( average customer )_ )_ )_ new_sent friendly _( it not children )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,customer rating 5 out of 5,,family Friendly yes,,near xnear,,added,,,,,,,,,,0,0,0,0,
restaurant _( xname friendly family xnear rating _( customer 5 5 )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range moderate,,area city centre,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( moderate price )_ )_ )_ new_sent located _( it centre city )_ new_sent xnear it,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,customer rating average,,area city centre,,family Friendly yes,,near xnear,,added,,,,,,,,0,0,0,0,
has _( xname rating _( average customer )_ friendly _( and family )_ )_ new_sent located _( it centre _( city xnear )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range moderate,,customer rating 3 out of 5,,area city centre,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( moderate price )_ )_ )_ new_sent located _( it centre city )_ new_sent 3 _( it rating customer 5 )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,customer rating high,,area riverside,,family Friendly yes,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname friendly kid coffee located _( riverside xnear )_ )_ new_sent has _( it rating _( high customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range moderate,,customer rating 1 out of 5,,area riverside,,family Friendly no,,near xnear,,added,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( moderate price )_ )_ )_ new_sent located _( it riverside )_ new_sent xnear it new_sent 1 _( it 5 _( rating customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range moderate,,customer rating 1 out of 5,,area riverside,,near xnear,,added,,,,0,0,0,0,
shop _( xname priced moderately coffee located _( riverside xnear )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,customer rating low,,area city centre,,family Friendly no,,added,,,,,,,,,,0,0,0,0,
restaurant _( xname friendly non-family centre city rating _( low customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range less than £ 20,,customer rating low,,area city centre,,family Friendly yes,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( less 20 )_ price )_ )_ )_ new_sent located _( it centre city )_ new_sent low _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range £ 20 - 25,,customer rating high,,area riverside,,family Friendly no,,added,,,,0,0,0,0,
shop _( xname coffee serving _( food english range _( price £ _( 20 25 )_ )_ )_ )_ new_sent has _( it rating _( high customer )_ friendly _( and not kid )_ )_ new_sent located _( it riverside )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range more than £ 30,,area riverside,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname coffee serving _( food english range _( price £ _( more 30 )_ )_ )_ )_ new_sent located _( it riverside xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range moderate,,customer rating 3 out of 5,,area riverside,,near xnear,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( moderate price )_ )_ )_ new_sent located _( it riverside )_ new_sent xnear it new_sent 3 _( it rating customer 5 )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range cheap,,customer rating 5 out of 5,,area riverside,,near xnear,,added,,,,0,0,0,0,
shop _( xname priced low coffee located _( next xnear )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range high,,customer rating average,,area riverside,,family Friendly no,,near xnear,,added,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( price high )_ )_ )_ new_sent located _( it riverside )_ new_sent xnear it new_sent average _( rating _( its customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range high,,area riverside,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname priced high coffee serving _( food english )_ )_ new_sent located _( it riverside xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range cheap,,customer rating 5 out of 5,,area city centre,,family Friendly no,,near xnear,,added,,0,0,0,0,
shop _( xname cheap coffee xnear centre city )_ new_sent serves _( it food english has _( and rating _( customer 5 5 )_ )_ )_ new_sent friendly _( it not family )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,customer rating low,,area city centre,,near xnear,,added,,,,,,,,,,0,0,0,0,
has _( xname rating _( low customer )_ located _( and centre _( city xnear )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range more than £ 30,,customer rating high,,area riverside,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( more 30 )_ price )_ )_ )_ new_sent located _( it riverside )_ new_sent high _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range moderate,,customer rating 3 out of 5,,area city centre,,family Friendly yes,,added,,,,0,0,0,0,
shop _( xname priced moderately friendly kid coffee centre city )_ new_sent serves _( it food english has _( and rating _( customer 3 5 )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,customer rating low,,area riverside,,family Friendly no,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese )_ )_ new_sent located _( it riverside )_ new_sent low _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range high,,customer rating 1 out of 5,,area city centre,,added,,,,,,0,0,0,0,
shop _( xname coffee serving _( food english centre city )_ )_ new_sent has _( it range _( high price rating _( and customer 1 5 )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,customer rating low,,area riverside,,family Friendly yes,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname friendly family coffee riverside xnear )_ new_sent has _( it rating _( low customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range cheap,,customer rating average,,family Friendly yes,,near xnear,,added,,,,0,0,0,0,
shop _( xname cheap friendly family coffee located xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,customer rating 5 out of 5,,area city centre,,family Friendly no,,added,,,,,,0,0,0,0,
shop _( xname coffee serving _( food english centre city )_ )_ new_sent friendly _( it not family has _( and rating _( customer 5 5 )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range high,,customer rating 1 out of 5,,area riverside,,family Friendly no,,near xnear,,added,,0,0,0,0,
shop _( xname priced high coffee located _( riverside xnear )_ )_ new_sent serves _( it food english friendly _( and not child )_ )_ new_sent has _( it rating _( customer 1 5 )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,customer rating 3 out of 5,,family Friendly yes,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname friendly kid coffee xnear )_ new_sent serves _( it food english has _( and rating _( customer 3 5 )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range cheap,,customer rating average,,family Friendly yes,,near xnear,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( cheap price )_ )_ )_ new_sent xnear it new_sent average _( rating _( its customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range moderate,,area city centre,,family Friendly yes,,near xnear,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( moderate price )_ )_ )_ new_sent located _( it centre city )_ new_sent xnear it,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range moderate,,customer rating 1 out of 5,,area riverside,,family Friendly no,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( moderate price )_ )_ )_ new_sent located _( it riverside )_ new_sent 1 _( it 5 _( rating customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range less than £ 20,,customer rating low,,family Friendly yes,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( less 20 )_ price )_ )_ )_ new_sent low _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,customer rating high,,area riverside,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname rated highly coffee serving _( food english )_ )_ new_sent located _( it riverside xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range less than £ 20,,customer rating low,,family Friendly yes,,near xnear,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( less 20 )_ price )_ )_ )_ new_sent xnear it new_sent low _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,customer rating low,,family Friendly yes,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname friendly family coffee serves _( food english )_ )_ new_sent located _( it xnear has _( and rating _( low customer )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range cheap,,customer rating average,,area riverside,,family Friendly yes,,near xnear,,added,,0,0,0,0,
shop _( xname friendly family coffee serving _( food _( cheap english )_ )_ )_ new_sent located _( it xnear riverside has _( and rating _( average customer )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,customer rating average,,area city centre,,family Friendly no,,near xnear,,added,,,,,,,,0,0,0,0,
located _( xname xnear centre city )_ new_sent has _( it rating _( average customer )_ friendly _( and not family )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range cheap,,customer rating 5 out of 5,,family Friendly no,,near xnear,,added,,,,0,0,0,0,
shop _( xname cheap coffee xnear )_ new_sent serves _( it food english has _( and rating _( customer 5 5 )_ )_ )_ new_sent friendly _( it not family )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range moderate,,customer rating 1 out of 5,,area riverside,,family Friendly no,,near xnear,,added,,0,0,0,0,
shop _( xname coffee providing _( food english range _( moderate price )_ )_ )_ new_sent located _( it riverside xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range high,,customer rating average,,family Friendly yes,,added,,,,,,0,0,0,0,
shop _( xname friendly child coffee serving _( food english range _( high price rating _( and average customer )_ )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range cheap,,customer rating 5 out of 5,,area city centre,,added,,,,,,0,0,0,0,
shop _( xname cheap coffee centre city )_ new_sent serves _( it food english has _( and rating _( customer 5 5 )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range cheap,,customer rating average,,area city centre,,family Friendly no,,near xnear,,added,,0,0,0,0,
shop _( xname cheap friendly _( non family )_ coffee located _( centre _( city xnear )_ )_ )_ new_sent serves _( it food english has _( and rating _( average customer )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range cheap,,customer rating 5 out of 5,,area riverside,,near xnear,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( cheap price )_ )_ )_ new_sent located _( it riverside )_ new_sent xnear it new_sent 5 _( it rating customer 5 )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range moderate,,customer rating 1 out of 5,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( moderate price )_ )_ )_ new_sent xnear it new_sent 1 _( it 5 _( rating customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range less than £ 20,,customer rating low,,area city centre,,family Friendly yes,,near xnear,,added,,0,0,0,0,
shop _( xname friendly family coffee serving _( food english range _( price £ _( less 20 )_ )_ )_ )_ new_sent located _( it centre _( city xnear )_ has _( and rating _( low customer )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,area riverside,,family Friendly no,,near xnear,,added,,,,,,,,,,0,0,0,0,
located _( xname riverside xnear )_ new_sent friendly _( it not family )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
